period,lower,mean,upper,label,experiment_id,run_id,subba
2024-06-23 08:00:00,11640.855660964296,12842.66409454215,14105.82286984698,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 09:00:00,11017.392037151552,11982.185288386918,13367.563808660716,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 10:00:00,10417.30636714352,11254.379496761558,12633.119672243683,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 11:00:00,9940.399425960595,10785.84400714115,11909.119625543546,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 12:00:00,9593.757038338916,10376.97323484754,11634.70022364044,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 13:00:00,9145.689081978224,10066.979309438662,11332.420353168232,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 14:00:00,9134.648745898356,10161.627644834316,11291.893537500931,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 15:00:00,9653.617925119244,10604.410938656383,11720.749112026013,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 16:00:00,10657.724976540718,11707.093213693192,12758.589917682297,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 17:00:00,12118.952803313823,13467.00523331499,14517.718841551436,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 18:00:00,13034.683536116456,14373.110898197472,15581.380471604549,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 19:00:00,13381.142362121613,14697.334395824226,16099.006749503098,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 20:00:00,13381.287448414849,14754.561733634288,16247.960889470784,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 21:00:00,13219.206512265711,14598.040577865144,16159.498288439863,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 22:00:00,13215.950579769084,14596.508633084884,16445.415688745856,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 23:00:00,13498.399137579994,14974.343681352457,16723.554485668905,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 00:00:00,1021.231781179177,1360.0203527129954,1959.3619143574883,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 01:00:00,1182.4224761765547,1663.9734305663071,2314.075549710549,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 02:00:00,1599.2412145565995,2056.0292918889654,2611.364652407632,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 03:00:00,1995.3021758787695,2380.907831548643,2874.935151728398,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 04:00:00,2197.875644786024,2590.978127664412,2977.8256329437927,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 05:00:00,2167.079295058229,2618.771655455296,2965.929209907232,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 06:00:00,2204.862504125021,2582.700191162668,2993.7866743050427,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 07:00:00,2057.736142555469,2433.087559530019,2832.8554935614998,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 08:00:00,1894.779777368972,2284.5814970258825,2725.2205070372265,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 09:00:00,1793.5245651383211,2249.89557760182,2706.9510253374096,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 10:00:00,1660.5067643246518,2078.91503056906,2545.1583053863087,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 11:00:00,1611.6595562410937,1998.858824504771,2548.817762810192,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 12:00:00,1484.1626061148106,1921.2102932794448,2443.485982368744,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 13:00:00,1452.00979064966,1874.722235501424,2294.336810402222,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 14:00:00,1462.422386777546,1907.6243287532693,2336.8024233380097,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 15:00:00,1531.5517289055856,1899.9997385414288,2398.917874289561,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 16:00:00,1451.111962275564,1859.2285340751905,2445.601080370202,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 17:00:00,1356.5572123974464,1681.0105859757325,2249.0998049541267,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 18:00:00,1186.8225727121185,1478.0773155805828,2188.0418271653493,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 19:00:00,890.3351782674006,1418.5950421228715,2117.0718538366045,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 20:00:00,651.846127282397,1107.202155995996,1839.76897217712,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 21:00:00,746.1073229640901,1199.1785878643134,1970.4683705952484,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 22:00:00,689.2207751217525,1213.5743928755878,1905.868388711256,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 23:00:00,793.4411809065464,1264.6960326837698,2071.308076351077,2024-06-23,924197851462697054,e1c4a6c97bee43b0b2b6b18617729d0b,SDGE
2024-06-23 00:00:00,63.76756772420342,107.9592149819023,133.3210214577187,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 01:00:00,43.40329072382915,114.11070908057118,137.4566528458349,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 02:00:00,48.90563805314217,115.89859147119608,138.09304097286136,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 03:00:00,55.273433281140626,109.02340376782708,136.28165000657063,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 04:00:00,53.84943687274872,104.2624025909457,130.82030001001385,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 05:00:00,42.01176470588235,93.55539992082413,122.57707057628788,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 06:00:00,50.8540721416062,86.3877158650142,125.05980889785691,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
2024-06-23 07:00:00,48.87970323086486,75.94658692904773,115.48540374182338,2024-06-23,577170290632978098,df18e46ff4a947bb883f3247b0e4dca5,VEA
